Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( x <= ( -10000 * x ) || ( x <= ( n * 1 ) && n > -10000 ) ), Passed, Yes, "None",  13,  51.84
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  15,  41.16
104, fuzz_spec, ( n < 0 || x <= n ), Passed, Yes, "[Or(Not(0 <= n), x <= n)]",  19,  246.63
105, fuzz_spec, ( ( n > x && x > ( 0 * 0 ) ) || ( x == 0 && x >= ( 0 - 1 ) ) || x == ( n + 0 ) ), Passed, Yes, "[Or(And(Not(n <= x), Not(x <= 0)),
    x == n,
    And(x == 0, x >= -1))]",  11,  79.80
10, fuzz_spec, ( ( y >= ( 4 - y ) && y <= ( 4 + 0 ) ) || ( y <= ( 4 + y ) && x < ( 4 + y ) ) || ( y <= ( x + 2 ) && y > 0 ) ), Passed, Yes, "[Or(And(y <= 2 + x, Not(y <= 0)),
    And(y >= 2, y <= 4),
    Not(y <= -4 + x))]",  21,  71.15
116, fuzz_spec, ( ( x == sn && x >= 0 ) || ( sn > sn && x == -1 ) || ( x < x && x < sn ) ), Passed, Yes, "None",  11,  42.82
11, fuzz_spec, ( ( y == ( x + 10 ) && y < ( 0 + y ) ) || x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  14,  91.65
120, fuzz_spec, ( ( i == ( sn + 1 ) || i == ( i + 1 ) ) && ( i <= ( 8 + 1 ) || sn == ( sn + 1 ) ) ), Passed, Yes, "[sn <= 8]",  18,  203.33
128, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  8,  12.36
129, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(And(x >= 1, Not(x <= y)), x >= 1, y >= 1)]",  8,  31.67
12, fuzz_spec, ( x <= ( y * 20 ) || ( y >= ( x * 0 ) && x <= 10 ) || ( y < 20 && x == y ) ), Passed, Yes, "[Or(x <= 20*y,
    And(y >= 0, x <= 10),
    And(Not(20 <= y), x == y))]",  20,  83.67
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  10,  14.32
13, fuzz_spec, ( y > ( x - 4 ) ), Passed, Yes, "[Not(y <= -4 + x)]",  14,  58.16
14, fuzz_spec, ( x < ( 4 + y ) ), Passed, Yes, "[Not(y <= -4 + x)]",  20,  71.19
15, fuzz_spec, ( ( m < n || n < 1 ) ), Passed, Yes, "[Or(Not(n <= m), Not(1 <= n))]",  23,  134.69
16, fuzz_spec, ( ( m == ( x - x ) || m >= 0 ) && ( x > 0 || x == 0 ) ), Passed, Yes, "[Or(m == 0, m >= 0), Or(Not(x <= 0), x == 0)]",  29,  101.36
17, fuzz_spec, ( ( x >= ( 1 - 1 ) && m <= ( 1 * 1 ) ) || m < ( n * 1 ) ), Passed, Yes, "[Or(And(x >= 0, m <= 1), Not(n <= m))]",  16,  84.69
18, fuzz_spec, ( ( n > ( 10000 + -10000 ) || x == ( 1 * m ) ) && x > ( n - n ) && x <= ( 10000 * m ) ), Failed, Yes, "None",  22,  550.38
19, fuzz_spec, ( ( x == ( x + m ) && m >= ( x + x ) ) || m < n ), Passed, Yes, "[Or(Not(n <= m), And(0 == m, m >= 2*x))]",  32,  250.63
20, fuzz_spec, ( ( m >= ( x * 0 ) && x >= ( m * 0 ) ) ), Passed, Yes, "[m >= 0, x >= 0]",  19,  106.70
21, fuzz_spec, ( m <= ( n - 1 ) || ( m < ( 1 + 1 ) && x >= ( n * x ) ) ), Passed, Yes, "[Or(m <= -1 + n, And(Not(2 <= m), x >= n*x))]",  15,  175.63
22, fuzz_spec, ( x > ( 1 - 1 ) && m >= 1 ), Passed, Yes, "[Not(x <= 0), m >= 1]",  20,  51.58
28, fuzz_spec, ( ( n < ( 1 + x ) || x >= 0 ) ), Passed, Yes, "[Or(Not(x <= -1 + n), x >= 0)]",  10,  20.17
29, fuzz_spec, ( x >= ( 0 * 0 ) || n < x || n == x ), Passed, Yes, "[Or(x >= 0, n == x, Not(x <= n))]",  10,  17.35
2, fuzz_spec, ( y >= ( -1000 * y ) && x > ( 0 * 10000 ) && y <= x ), Passed, Yes, "None",  18,  224.63
30, fuzz_spec, ( x >= ( x - x ) || x == 100 ), Passed, Yes, "[Or(x >= 0, x == 100)]",  16,  41.22
35, fuzz_spec, ( c >= ( c - c ) || c == 1 ), Passed, Yes, "[Or(c == 1, c >= 0)]",  13,  37.44
36, fuzz_spec, ( ( c <= ( 40 * 1 ) && c >= ( c - c ) ) ), Passed, Yes, "[c <= 40, c >= 0]",  12,  71.57
