Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, c_nl_spec, ( ( x <= ( n + 0 ) || x == ( 1 * 0 ) ) && ( x >= ( n * 0 ) || x > ( n * 0 ) ) && ( x <= ( 10000 + x ) || x == n ) ), Passed, Yes, "[Or(x <= n, x == 0), Or(Not(x <= 0), x >= 0)]",  13,  65.60
102, c_nl_spec, ( ( n < ( 0 * x ) || x <= ( n - 0 ) ) ), Passed, Yes, "[Or(Not(0 <= n), x <= n)]",  11,  44.00
103, c_nl_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  37,  3.30
104, c_nl_spec, ( ( n >= ( n + 0 ) && x < ( 1 + n ) ) || x <= 0 || ( n == ( x * 0 ) && x < 0 ) ), Passed, Yes, "[Or(Not(n <= -1 + x), x <= 0, And(n == 0, Not(0 <= x)))]",  10,  36.01
105, c_nl_spec, ( ( x <= n || x >= ( x + x ) ) ), Passed, Yes, "[Or(x <= n, x <= 0)]",  9,  3.47
10, c_nl_spec, ( ( y <= ( y + 0 ) && x < ( 4 + y ) ) ), Passed, Yes, "[Not(y <= -4 + x)]",  11,  2.16
114, c_nl_spec, ( x > x || sn == ( x * 1 ) ), Passed, Yes, "[]",  15,  8.34
115, c_nl_spec, ( ( sn == ( x - 0 ) && sn > ( x - 1 ) ) ), Passed, Yes, "[]",  14,  3.57
116, c_nl_spec, ( sn == x ), Passed, Yes, "[]",  14,  11.36
117, c_nl_spec, ( ( sn == ( 1 * x ) && sn >= -1 ) ), Passed, Yes, "None",  6,  0.29
11, c_nl_spec, ( ( y <= ( y + 20 ) && x < ( 20 + y ) ) ), Passed, Yes, "[Not(y <= -20 + x)]",  11,  2.29
128, c_nl_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  15,  3.97
129, c_nl_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  15,  4.12
12, c_nl_spec, ( ( y <= ( y + 0 ) && x < ( 20 + y ) ) ), Passed, Yes, "[Not(y <= -20 + x)]",  11,  2.39
132, c_nl_spec, ( i >= 0 || ( i <= ( 48 - 57 ) && j >= ( 57 + j ) ) ), Passed, Yes, "[i >= 0]",  9,  4.06
133, c_nl_spec, ( ( x > ( 1 + 0 ) && x < 0 ) || ( x <= ( x + 0 ) && n >= ( x + 0 ) ) ), Passed, Yes, "[Or(And(Not(x <= 1), Not(0 <= x)), n >= x)]",  10,  0.78
13, c_nl_spec, ( ( y < ( y * 2 ) || x <= ( y + 2 ) ) ), Passed, Yes, "[Or(Not(y <= 0), x <= 2 + y)]",  11,  176.13
14, c_nl_spec, ( ( y == ( 0 * x ) && y < ( 0 - y ) ) || y > ( x - 4 ) ), Passed, Yes, "[Or(And(y == 0, Not(y >= 0)), Not(y <= -4 + x))]",  10,  5.91
15, c_nl_spec, ( ( n <= ( n + n ) || n >= ( 0 + n ) ) && ( m <= ( 0 - 0 ) || m < ( n * 1 ) ) ), Passed, Yes, "[Or(Not(n <= m), m <= 0)]",  18,  52.66
16, c_nl_spec, ( x <= ( x + x ) && ( m == 0 || m >= 0 ) ), Passed, Yes, "[x >= 0, Or(m == 0, m >= 0)]",  15,  85.70
17, c_nl_spec, ( x <= x && ( n <= ( 1 * 1 ) || n > ( m * 1 ) ) ), Passed, Yes, "[Or(n <= 1, Not(n <= m))]",  21,  181.51
18, c_nl_spec, ( ( m >= ( -10000 - -10000 ) || x > ( n * 1 ) ) && x >= 1 && ( n < ( 10000 * m ) || n < ( n + m ) ) ), Passed, Yes, "None",  21,  214.05
19, c_nl_spec, ( n <= ( m * 0 ) || ( n < ( 1 + 1 ) && m == 0 ) || ( n > ( m + 0 ) && x >= x ) ), Passed, Yes, "[Or(n <= 0, Not(n <= m), And(Not(2 <= n), m == 0))]",  23,  57.22
20, c_nl_spec, ( ( m >= ( x * 0 ) && x >= 0 ) ), Passed, Yes, "[m >= 0, x >= 0]",  21,  76.51
21, c_nl_spec, ( m <= ( n - 1 ) || m <= ( 1 * 1 ) ), Passed, Yes, "[Or(m <= -1 + n, m <= 1)]",  22,  301.41
22, c_nl_spec, ( m >= 1 && n > ( n - x ) ), Passed, Yes, "[m >= 1, Not(x <= 0)]",  21,  124.40
