Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x >= ( n - n ) && x < ( n + 1 ) ) || x <= ( 0 * 1 ) ), Passed, Yes, "[Or(x <= 0, And(x >= 0, Not(n <= -1 + x)))]",  11,  63.26
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  26.57
104, fuzz_spec, ( n > ( 0 + n ) || x <= ( 0 * 0 ) || n >= x ), Passed, Yes, "[Or(n >= x, x <= 0)]",  9,  23.78
105, fuzz_spec, ( ( x > ( 0 * 0 ) && x <= ( 0 - 0 ) ) || x == ( n * 0 ) || ( x <= n && n == ( n - 0 ) ) ), Passed, Yes, "[Or(x <= n, x == 0)]",  9,  26.61
10, fuzz_spec, ( ( x > ( 0 + x ) && x < ( 0 - x ) ) || ( x < ( 4 + y ) && x <= ( y + 4 ) ) ), Passed, Yes, "[Not(y <= -4 + x), x <= 4 + y]",  19,  91.05
116, fuzz_spec, ( ( sn == x && x == ( sn + 0 ) ) ), Passed, Yes, "[]",  12,  28.37
11, fuzz_spec, ( x <= ( y + 10 ) ), Passed, Yes, "[x <= 10 + y]",  19,  119.73
128, fuzz_spec, ( x >= ( 1 * 1 ) ), Passed, Yes, "[x >= 1]",  9,  24.60
129, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  10,  24.38
12, fuzz_spec, ( x <= ( 10 + y ) && ( y == y || x <= x ) ), Passed, Yes, "[x <= 10 + y]",  20,  62.01
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  10,  24.88
13, fuzz_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  11,  29.76
14, fuzz_spec, ( ( x <= ( y + x ) || x >= ( 4 + 0 ) ) && ( x > ( x - y ) || x < 4 ) ), Passed, Yes, "[Or(0 <= y, x >= 4), Or(Not(y <= 0), Not(4 <= x))]",  26,  92.23
15, fuzz_spec, ( ( m < n || n < 1 ) ), Passed, Yes, "[Or(Not(n <= m), Not(1 <= n))]",  26,  67.00
16, fuzz_spec, ( ( x >= ( n + x ) && x == ( x + n ) ) || ( n <= ( n + x ) && n <= ( m + n ) ) ), Passed, Yes, "[Or(And(0 <= x, 0 <= m), And(0 >= n, 0 == n))]",  38,  643.44
17, fuzz_spec, ( m < ( n * 1 ) || m <= 1 ), Passed, Yes, "[Or(Not(n <= m), m <= 1)]",  22,  111.36
19, fuzz_spec, ( ( m < n || m <= ( m * 0 ) ) ), Passed, Yes, "[Or(Not(n <= m), m <= 0)]",  17,  54.44
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  9,  22.32
