Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, c_nl_spec, ( ( n >= ( 0 + x ) && n == n ) || ( n == n && x <= ( 10000 + -10000 ) ) ), Passed, Yes, "None",  14,  33.22
103, c_nl_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  37,  2.79
104, c_nl_spec, ( ( n >= ( n + 0 ) && x < ( 1 + n ) ) || x <= 0 || ( n == ( x * 0 ) && x < 0 ) ), Passed, Yes, "[Or(Not(n <= -1 + x), x <= 0, And(n == 0, Not(0 <= x)))]",  10,  36.43
105, c_nl_spec, ( ( x <= n || x >= ( x + x ) ) ), Passed, Yes, "[Or(x <= n, x <= 0)]",  8,  3.38
10, c_nl_spec, ( ( y <= ( y + 0 ) && x < ( 4 + y ) ) ), Passed, Yes, "[Not(y <= -4 + x)]",  11,  2.07
116, c_nl_spec, ( sn == x ), Passed, Yes, "[]",  15,  4.23
11, c_nl_spec, ( x <= ( y + 10 ) ), Passed, Yes, "[x <= 10 + y]",  9,  30.41
120, c_nl_spec, ( ( sn == ( i - 1 ) && sn <= 8 ) ), Passed, Yes, "[i <= 9]",  22,  132.68
128, c_nl_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  15,  3.69
129, c_nl_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  15,  3.86
12, c_nl_spec, ( x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  19,  4.61
132, c_nl_spec, ( i >= 0 || ( i <= ( 48 - 57 ) && j >= ( 57 + j ) ) ), Passed, Yes, "[i >= 0]",  9,  3.83
133, c_nl_spec, ( ( x > ( 1 + 0 ) && x < 0 ) || ( x <= ( x + 0 ) && n >= ( x + 0 ) ) ), Passed, Yes, "[Or(And(Not(x <= 1), Not(0 <= x)), n >= x)]",  9,  0.60
13, c_nl_spec, ( x <= ( y + 2 ) || ( x >= ( 0 * x ) && y > ( x * 2 ) ) || ( x < ( y + y ) && x < ( 0 + y ) ) ), Passed, Yes, "[Or(And(x >= 0, Not(y <= 2*x)),
    x <= 2 + y,
    And(Not(2*y <= x), Not(y <= x)))]",  11,  5.76
14, c_nl_spec, ( ( y <= ( y + 0 ) && x < ( 4 + y ) ) ), Passed, Yes, "[Not(y <= -4 + x)]",  11,  2.46
15, c_nl_spec, ( m == 0 || n > ( m - 0 ) || ( m < ( 1 - 0 ) && x <= n ) ), Passed, Yes, "[Or(m == 0, Not(n <= m), And(Not(1 <= m), x <= n))]",  12,  34.88
16, c_nl_spec, ( x >= m && ( m >= 0 || m == 0 ) ), Passed, Yes, "[x >= m, Or(m == 0, m >= 0)]",  15,  244.51
17, c_nl_spec, ( m < ( n * 1 ) || m <= 1 ), Passed, Yes, "[Or(Not(n <= m), m <= 1)]",  15,  8.42
18, c_nl_spec, ( x >= 1 && ( m > 1 || m == 1 ) ), Passed, Yes, "[x >= 1, Or(Not(m <= 1), m == 1)]",  18,  94.66
19, c_nl_spec, ( m == 0 || n > ( m - 0 ) || ( m < ( 1 - 0 ) && x <= n ) ), Passed, Yes, "[Or(m == 0, Not(n <= m), And(Not(1 <= m), x <= n))]",  12,  34.50
20, c_nl_spec, ( x >= m && ( m >= 0 || m == 0 ) ), Passed, Yes, "[x >= m, Or(m == 0, m >= 0)]",  15,  242.29
21, c_nl_spec, ( ( m >= ( m * m ) || m < n ) ), Passed, Yes, "[Or(Not(n <= m), m >= m*m)]",  20,  242.07
22, c_nl_spec, ( ( x <= ( x * m ) || x == ( 1 * m ) ) && x > ( x - x ) ), Passed, Yes, "[Or(x == m, x <= m*x), Not(x <= 0)]",  17,  94.23
28, c_nl_spec, ( ( x <= ( x + 1 ) || x >= ( n + n ) ) && ( n == x || n >= ( n - x ) ) ), Passed, Yes, "[Or(n == x, x >= 0)]",  12,  22.43
29, c_nl_spec, ( ( x == ( n - 0 ) || x >= 0 ) ), Passed, Yes, "[Or(x == n, x >= 0)]",  11,  1.80
30, c_nl_spec, ( x >= ( x - x ) || x == 100 ), Passed, Yes, "[Or(x >= 0, x == 100)]",  18,  1.28
35, c_nl_spec, ( c >= ( c - c ) || c == 1 ), Passed, Yes, "[Or(c == 1, c >= 0)]",  18,  1.40
36, c_nl_spec, ( ( c < ( c * 0 ) || c <= 40 ) ), Passed, Yes, "[Or(Not(0 <= c), c <= 40)]",  33,  13.76
37, c_nl_spec, ( ( c < c && c == ( c - 40 ) ) || c <= ( c - c ) || c > 0 ), Passed, Yes, "[]",  7,  0.85
38, c_nl_spec, ( c >= ( n * 0 ) && n > ( 0 * c ) ), Passed, Yes, "[c >= 0, Not(n <= 0)]",  7,  0.79
39, c_nl_spec, ( n <= n || ( n >= ( n + 1 ) && c < ( c * 1 ) ) || c <= ( 1 + c ) ), Passed, Yes, "[]",  8,  0.30
3, c_nl_spec, ( ( y < ( 1 + z ) || x == ( 1 - 1 ) ) ), Passed, Yes, "[Or(Not(z <= -1 + y), x == 0)]",  26,  462.60
40, c_nl_spec, ( ( c == 0 || n < ( c - 1 ) ) ), Passed, Yes, "[Or(c == 0, Not(c <= 1 + n))]",  5,  0.21
41, c_nl_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  0.63
45, c_nl_spec, ( c >= ( n * 0 ) && n > ( 0 * c ) ), Passed, Yes, "[c >= 0, Not(n <= 0)]",  7,  0.70
4, c_nl_spec, ( ( z >= y || x < 1 ) ), Passed, Yes, "[Or(Not(1 <= x), z >= y)]",  17,  79.60
51, c_nl_spec, ( ( c <= ( 4 + 0 ) || c < 1 ) ), Passed, Yes, "[Or(c <= 4, Not(1 <= c))]",  33,  15.77
54, c_nl_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  0.33
63, c_nl_spec, ( ( x <= ( x + y ) || x < 10 ) ), Passed, Yes, "[Or(0 <= y, Not(10 <= x))]",  14,  11.89
65, c_nl_spec, ( ( x == 1 || y >= ( 0 - y ) ) ), Passed, Yes, "[Or(x == 1, y >= 0)]",  12,  61.63
68, c_nl_spec, ( ( y == ( 0 - y ) && x >= ( 0 + y ) ) || y <= n || x < ( 1 + 1 ) ), Passed, Yes, "[Or(y <= n, And(y == 0, x >= y), Not(2 <= x))]",  17,  252.90
6, c_nl_spec, ( ( x >= x && z >= y ) || x <= ( z - z ) || ( size == ( 1 * y ) && size < ( size - size ) ) ), Passed, Yes, "[Or(z >= y, x <= 0, And(size == y, Not(0 <= size)))]",  15,  139.63
70, c_nl_spec, ( ( x <= ( n * 1 ) || y >= ( x * y ) ) && n == ( n - 0 ) ), Passed, Yes, "[Or(x <= n, y >= x*y)]",  22,  292.27
74, c_nl_spec, ( ( y > ( 1 + 0 ) && y <= ( z * 1 ) ) ), Passed, Yes, "[Not(y <= 1), y <= z]",  16,  2.98
77, c_nl_spec, ( y <= x ), Passed, Yes, "[y <= x]",  20,  10.97
79, c_nl_spec, ( ( x >= y || i >= y ) ), Passed, Yes, "[Or(i >= y, x >= y)]",  24,  3.79
7, c_nl_spec, ( x <= ( y + 10 ) ), Passed, Yes, "[x <= 10 + y]",  9,  30.75
80, c_nl_spec, ( y <= x ), Passed, Yes, "[y <= x]",  4,  0.19
83, c_nl_spec, ( x < 0 || y > x || ( x < ( y * y ) && x == ( 0 - 1 ) ) ), Passed, Yes, "[Or(Not(0 <= x), Not(y <= x), And(Not(y*y <= x), x == -1))]",  13,  29.36
85, c_nl_spec, ( ( y > -15000 && x <= ( -10000 - x ) ) || y > ( 1 * 1 ) ), Passed, Yes, "None",  9,  9.91
8, c_nl_spec, ( x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  19,  4.44
96, c_nl_spec, ( ( i >= ( 1 * 0 ) && j == ( i * y ) ) ), Passed, Yes, "[i >= 0]",  22,  321.60
98, c_nl_spec, ( y >= 2 || ( j == ( 0 - j ) && j < ( 0 - 1 ) ) ), Passed, Yes, "[Or(y >= 2, And(j == 0, Not(-1 <= j)))]",  9,  3.17
99, c_nl_spec, ( y == ( n - x ) ), Passed, Yes, "[]",  12,  146.28
9, c_nl_spec, ( x <= ( y + 2 ) || ( x >= ( 0 * x ) && y > ( x * 2 ) ) || ( x < ( y + y ) && x < ( 0 + y ) ) ), Passed, Yes, "[Or(And(x >= 0, Not(y <= 2*x)),
    x <= 2 + y,
    And(Not(2*y <= x), Not(y <= x)))]",  11,  6.01
100, c_nl_spec, ( ( n > ( 1 * 1 ) || y < ( y * x ) ) ), Failed, No, "[Or(Not(n <= 1), Not(x*y <= y))]",  12, 0.0
106, c_nl_spec, ( k < ( m + 1 ) || j < ( a * a ) || a == ( a - 10000 ) ), Failed, No, "[Or(Not(a*a <= j), Not(m <= -1 + k))]",  13, 0.0
108, c_nl_spec, ( j == 0 || ( k > ( 10000 * c ) && c == 0 ) || ( k == ( 10000 * -10000 ) && k == ( m + j ) ) ), Failed, No, "None",  17, 0.0
109, c_nl_spec, ( ( k <= m && j <= m ) || ( a <= m && c > ( c + 0 ) ) ), Failed, No, "[k <= m, j <= m]",  11, 0.0
