Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n <= ( -10000 * x ) || x <= n ) ), Passed, Yes, "None",  13,  49.50
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  26.53
104, fuzz_spec, ( ( n > ( n - x ) && x <= n ) || x <= ( n * 0 ) || ( x < ( n * x ) && n == ( n * 0 ) ) ), Passed, Yes, "[Or(And(Not(n*x <= x), n == 0),
    And(Not(x <= 0), x <= n),
    x <= 0)]",  11,  37.23
105, fuzz_spec, ( ( n < ( n * 0 ) || x <= ( n - 0 ) ) ), Passed, Yes, "[Or(Not(0 <= n), x <= n)]",  8,  37.43
10, fuzz_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  15,  36.72
116, fuzz_spec, ( sn == x ), Passed, Yes, "[]",  11,  29.92
11, fuzz_spec, ( ( x <= ( 20 - 10 ) && y > 20 ) || y >= ( x - 10 ) || ( x < ( x + 0 ) && x >= ( 0 - x ) ) ), Passed, Yes, "[Or(y >= -10 + x, And(x <= 10, Not(y <= 20)))]",  17,  40.40
120, fuzz_spec, ( ( sn <= 8 || i <= ( 0 + 8 ) ) && i == ( sn + 1 ) ), Passed, Yes, "[Or(sn <= 8, sn <= 7)]",  22,  161.19
128, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  23.86
129, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  23.62
12, fuzz_spec, ( x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  17,  61.15
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  9,  23.07
13, fuzz_spec, ( ( y == ( y + y ) && x == ( x + 4 ) ) || ( x == ( 0 + 4 ) && x > x ) || y > ( x - 4 ) ), Passed, Yes, "[Not(y <= -4 + x)]",  16,  57.83
14, fuzz_spec, ( ( y < ( 4 - x ) || y >= 0 ) && x < ( 4 + y ) ), Passed, Yes, "[Or(Not(-1*x <= -4 + y), y >= 0), Not(y <= -4 + x)]",  19,  78.83
15, fuzz_spec, ( ( m < 1 && x < 1 ) || m < n ), Passed, Yes, "[Or(And(Not(1 <= m), Not(1 <= x)), Not(n <= m))]",  30,  307.97
16, fuzz_spec, ( ( m > ( 1 * m ) || m <= ( x * 1 ) ) && x <= ( m + x ) ), Passed, Yes, "[m <= x, 0 <= m]",  28,  270.42
17, fuzz_spec, ( ( m < ( x + 1 ) && m == 1 ) || ( n > ( x * m ) && n > n ) || m < n ), Passed, Yes, "[Or(Not(n <= m), And(Not(x <= -1 + m), m == 1))]",  19,  94.48
19, fuzz_spec, ( n > ( 0 + m ) || ( n == ( 1 + m ) && x < x ) || x >= ( m + x ) ), Passed, Yes, "[Or(Not(n <= m), 0 >= m)]",  19,  89.19
20, fuzz_spec, ( x >= ( n - n ) && ( m <= ( m - n ) || m <= ( m + m ) ) ), Passed, Yes, "[x >= 0, Or(n <= 0, m >= 0)]",  20,  168.11
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  20.69
4, fuzz_spec, ( ( z >= y || x >= ( x + x ) ) ), Passed, Yes, "[Or(z >= y, x <= 0)]",  21,  246.78
51, fuzz_spec, ( c <= ( 4 + 0 ) && c <= c && c >= c ), Passed, Yes, "[c <= 4]",  16,  36.17
54, fuzz_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  15.96
63, fuzz_spec, ( y == ( 10 + x ) || ( x <= ( 10 + 10 ) && x <= ( 10 - 0 ) ) || y >= ( 1 - 1 ) ), Passed, Yes, "[Or(y >= 0, y == 10 + x, And(x <= 20, x <= 10))]",  15,  46.40
70, fuzz_spec, ( x < ( 1 + n ) || ( n <= ( 0 + 0 ) && n == ( 0 + n ) ) || y <= 0 ), Passed, Yes, "[Or(Not(n <= -1 + x), n <= 0, y <= 0)]",  29,  149.74
74, fuzz_spec, ( ( c > ( z * 127 ) || z > ( c * 1 ) ) && ( z > ( z + 0 ) || z > 127 ) && ( z <= ( z + 1 ) || z < ( 36 * c ) ) ), Passed, Yes, "[Or(Not(z <= c), Not(c <= 127*z)), Not(z <= 127)]",  9,  23.41
77, fuzz_spec, ( y <= x ), Passed, Yes, "[y <= x]",  11,  26.18
79, fuzz_spec, ( ( x < ( 1 + x ) && i >= 0 ) || ( y < ( x * 0 ) && x >= 0 ) ), Passed, Yes, "[Or(i >= 0, And(Not(0 <= y), x >= 0))]",  12,  28.15
80, fuzz_spec, ( y <= x ), Passed, Yes, "[y <= x]",  4,  14.69
83, fuzz_spec, ( ( y >= 1 || x < ( x * y ) ) ), Passed, Yes, "[Or(y >= 1, Not(x*y <= x))]",  7,  21.12
